lga_code,lga_name,at_risk_f_0_9,at_risk_m_0_9,at_risk_f_10_19,at_risk_m_10_19,at_risk_f_20_29,at_risk_m_20_29,at_risk_f_30_39,at_risk_m_30_39,at_risk_f_40_49,at_risk_m_40_49,at_risk_f_50_59,at_risk_m_50_59,at_risk_f_60_plus,at_risk_m_60_plus
10050,Albury,16,23,23,17,45,21,35,26,47,25,19,15,14,4
10130,Armidale Regional,31,35,42,38,39,16,32,13,29,14,9,13,5,6
10250,Ballina,64,66,52,35,48,14,37,13,39,14,15,13,10,3
10300,Balranald,0,0,0,0,6,0,0,0,0,0,0,0,0,0
10470,Bathurst Regional,59,51,67,33,47,23,36,20,32,22,12,12,13,12
10500,Bayside,36,50,101,62,35,20,61,17,80,17,20,15,12,11
10550,Bega Valley,8,18,35,21,26,10,21,4,9,8,10,5,5,3
10600,Bellingen,0,0,9,0,0,0,6,0,4,0,0,0,0,0
10650,Berrigan,0,0,6,4,3,0,7,0,7,0,3,0,0,0
10750,Blacktown,106,91,212,226,206,69,205,36,150,51,48,30,25,25
10800,Bland,3,3,0,4,0,0,0,0,0,0,0,0,0,0
10850,Blayney,3,0,0,0,4,0,4,0,3,0,0,0,0,0
10900,Blue Mountains,18,19,65,43,34,20,49,5,48,13,24,9,16,11
10950,Bogan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11150,Bourke,21,31,11,11,18,6,16,4,15,5,10,3,0,6
11200,Brewarrina,12,19,7,8,16,5,6,4,3,7,4,0,0,3
11250,Broken Hill,11,14,22,8,22,7,10,4,7,5,3,0,0,0
11300,Burwood,3,0,10,0,7,0,8,0,6,0,3,0,0,0
11350,Byron,6,6,10,12,7,7,19,6,23,3,11,6,10,6
11400,Cabonne,0,0,5,0,0,4,5,0,3,0,0,0,0,0
11450,Camden,16,18,23,14,10,6,14,0,12,0,0,0,0,0
11500,Campbelltown,119,134,219,163,128,47,129,31,74,28,39,14,14,10
11520,Canada Bay,15,6,23,17,15,7,15,3,13,5,6,3,6,0
11570,Canterbury-Bankstown,174,174,190,123,138,66,148,44,97,43,41,42,24,44
11600,Carrathool,0,0,3,0,0,0,4,0,4,0,0,0,0,0
11650,Central Coast,143,137,192,127,162,49,154,47,126,64,67,34,32,24
11700,Central Darling,9,7,10,4,7,0,4,0,0,0,4,0,0,0
11720,Cessnock,14,9,38,26,47,6,35,9,32,4,6,0,0,0
11730,Clarence Valley,48,84,57,47,67,15,71,17,58,11,23,15,11,9
11750,Cobar,0,6,7,4,17,4,0,3,8,0,6,0,0,3
11800,Coffs Harbour,90,74,110,83,122,63,82,38,85,36,44,20,24,14
12000,Coolamon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12150,Coonamble,11,11,11,6,12,5,9,0,5,3,0,3,0,0
12160,Cootamundra-Gundagai Regional,0,0,4,3,4,0,5,0,4,0,0,0,0,0
12350,Cowra,5,0,4,0,7,0,0,0,0,0,0,0,0,0
12380,Cumberland,47,56,62,35,59,26,79,25,42,22,37,15,13,12
12390,Dubbo Regional,50,54,81,57,67,26,54,27,32,32,12,9,6,3
12700,Dungog,0,0,0,0,0,0,10,0,5,0,3,0,0,0
12730,Edward River,9,0,10,11,13,6,11,7,15,6,5,0,0,0
