lga_code,lga_name,homeless_f_0_9,homeless_m_0_9,homeless_f_10_19,homeless_m_10_19,homeless_f_20_29,homeless_m_20_29,homeless_f_30_39,homeless_m_30_39,homeless_f_40_49,homeless_m_40_49,homeless_f_50_59,homeless_m_50_59,homeless_f_60_plus,homeless_m_60_plus
10050,Albury,17,11,48,25,59,48,42,44,27,46,10,13,0,10
10130,Armidale Regional,11,10,31,24,42,28,19,12,17,13,8,9,3,0
10250,Ballina,35,28,31,25,35,16,24,16,27,31,10,7,5,6
10300,Balranald,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10470,Bathurst Regional,55,54,74,49,56,51,26,36,26,29,9,12,3,6
10500,Bayside,16,19,23,21,20,11,17,10,16,11,7,16,0,3
10550,Bega Valley,13,17,29,16,21,17,17,10,13,17,4,8,0,6
10600,Bellingen,7,0,5,3,0,0,0,0,0,6,3,0,0,0
10650,Berrigan,4,0,4,3,0,0,4,0,0,4,0,0,0,0
10750,Blacktown,96,125,163,89,201,86,84,34,50,31,18,18,10,6
10800,Bland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10850,Blayney,0,0,0,0,4,0,0,0,0,0,0,0,0,0
10900,Blue Mountains,4,7,23,20,19,12,15,10,16,13,5,9,3,0
10950,Bogan,0,0,0,0,3,0,3,0,0,0,0,0,0,0
11150,Bourke,13,12,15,7,9,6,10,5,8,8,0,0,0,0
11200,Brewarrina,10,11,13,4,6,0,3,0,0,6,0,0,0,0
11250,Broken Hill,10,11,40,33,31,27,16,18,9,18,3,4,0,4
11300,Burwood,8,14,8,11,14,13,10,4,7,12,5,11,5,4
11350,Byron,3,4,12,17,10,12,19,20,12,18,8,19,5,9
11400,Cabonne,3,0,7,3,0,0,0,3,0,0,0,0,0,0
11450,Camden,10,6,12,10,7,4,6,4,0,0,0,0,0,0
11500,Campbelltown,94,101,115,81,100,76,67,58,35,53,16,17,0,9
11520,Canada Bay,3,3,9,8,6,8,4,3,4,3,6,0,3,0
11570,Canterbury-Bankstown,96,100,88,65,92,31,79,32,41,30,11,22,13,11
11600,Carrathool,0,0,0,0,3,0,0,0,0,0,0,0,0,0
11650,Central Coast,144,104,140,117,150,77,118,75,84,87,41,46,11,22
11700,Central Darling,0,0,4,0,3,0,0,0,0,0,0,0,0,0
11720,Cessnock,3,0,19,16,39,15,25,9,15,7,7,4,0,0
11730,Clarence Valley,55,56,76,53,62,37,42,38,37,28,18,17,8,13
11750,Cobar,0,0,3,4,0,6,4,4,0,0,0,0,0,0
11800,Coffs Harbour,63,58,90,81,82,59,59,48,41,37,20,26,7,5
12000,Coolamon,0,0,3,0,0,0,0,0,0,0,0,0,0,0
12150,Coonamble,0,10,6,0,7,7,0,3,3,0,0,0,0,0
12160,Cootamundra-Gundagai Regional,0,0,4,3,0,0,4,0,0,0,0,0,0,0
12350,Cowra,12,9,8,17,5,0,7,3,0,0,0,0,0,0
12380,Cumberland,65,46,42,48,66,32,43,21,27,20,8,11,9,6
12390,Dubbo Regional,55,59,105,73,100,62,41,41,23,28,6,8,7,7
12700,Dungog,3,0,0,4,4,0,0,0,0,0,0,0,0,0
12730,Edward River,4,7,7,8,12,13,5,15,4,5,3,5,0,0
12750,Eurobodalla,16,19,34,25,38,23,30,27,21,16,15,31,0,3
12850,Fairfield,43,57,42,38,44,11,39,16,21,25,6,9,6,7
12870,Federation,0,0,4,4,0,0,0,0,0,0,0,0,0,0
12900,Forbes,10,10,8,8,6,5,4,3,6,0,0,6,0,0
12930,Georges River,12,21,25,11,13,16,16,8,19,5,10,14,3,0
12950,Gilgandra,3,4,3,0,0,0,0,0,0,0,0,0,0,0
13010,Glen Innes Severn,8,0,28,15,6,8,7,6,6,4,0,4,0,0
13310,Goulburn Mulwaree,27,27,33,27,30,15,25,25,11,25,11,7,5,0
13340,Greater Hume Shire,0,3,4,3,0,0,0,3,3,3,0,0,0,0
13450,Griffith,12,23,23,27,26,26,17,14,17,17,5,3,0,3
13550,Gunnedah,5,6,9,6,17,6,8,6,6,4,0,5,0,0
13660,Gwydir,0,0,3,0,0,0,0,0,0,0,0,0,0,0
13800,Hawkesbury,11,28,34,24,22,18,19,16,22,16,6,8,4,4
13850,Hay,0,0,0,0,0,0,0,0,0,0,3,0,0,0
13910,Hilltops,0,0,9,21,5,8,8,11,6,3,4,0,0,0
14000,Hornsby,6,11,22,22,22,5,17,8,13,9,6,7,6,5
14100,Hunters Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14170,Inner West,36,47,61,48,83,41,42,35,52,59,31,41,6,31
14200,Inverell,26,18,22,20,33,13,13,6,7,9,0,3,5,3
14300,Junee,0,0,0,0,0,0,4,12,0,6,0,3,0,0
14350,Kempsey,49,49,69,43,62,41,42,26,21,32,17,20,4,5
14400,Kiama,3,0,4,5,0,0,0,0,3,0,0,0,0,0
14500,Ku-ring-gai,0,0,8,11,0,0,0,0,3,0,0,0,0,4
14550,Kyogle,0,3,5,3,0,0,4,0,0,0,3,0,0,0
14600,Lachlan,4,4,4,0,4,0,4,0,3,3,0,0,0,0
14650,Lake Macquarie,33,47,60,59,82,26,66,25,38,26,15,12,4,0
14700,Lane Cove,3,0,0,0,0,0,3,0,0,0,0,0,0,0
14750,Leeton,10,18,17,0,6,10,5,4,3,0,0,0,0,0
14850,Lismore,42,57,57,47,63,34,44,27,31,34,17,13,9,12
14870,Lithgow,6,11,28,23,25,20,15,11,7,10,3,0,0,3
14900,Liverpool,78,105,105,83,97,42,70,50,55,44,36,25,9,16
14920,Liverpool Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14950,Lockhart,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15050,Maitland,28,16,49,37,57,21,43,9,10,7,7,4,0,3
15240,Mid-Coast,23,28,64,59,79,53,36,32,30,35,12,11,6,7
15270,Mid-Western Regional,9,10,21,13,15,11,12,6,9,7,0,6,0,0
