lga_code, lga_name, at_risk_f_0_9, at_risk_m_0_9, at_risk_f_10_19, at_risk_m_10_19, at_risk_f_20_29, at_risk_m_20_29, at_risk_f_30_39, at_risk_m_30_39, at_risk_f_40_49, at_risk_m_40_49, at_risk_f_50_59, at_risk_m_50_59, at_risk_f_60_plus, at_risk_m_60_plus
10050,Albury,11,15,19,23,43,17,48,18,32,23,14,13,14,6
10130,Armidale Regional,27,25,46,40,40,15,42,23,26,18,5,11,3,6
10250,Ballina,51,64,52,36,55,11,46,15,39,21,26,15,9,6
10300,Balranald,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10470,Bathurst Regional,58,71,60,47,50,26,33,25,33,18,9,12,6,14
10500,Bayside,29,40,47,42,37,15,55,15,60,15,23,14,13,7
10550,Bega Valley,6,12,24,17,16,10,20,5,8,3,0,0,6,10
10600,Bellingen,0,0,5,4,9,3,5,3,5,0,0,0,0,0
10650,Berrigan,0,0,0,3,6,0,3,0,0,3,0,0,0,0
10750,Blacktown,116,139,172,172,198,76,187,32,133,45,48,24,22,18
10800,Bland,4,7,3,5,0,0,5,0,0,0,0,0,0,0
10850,Blayney,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10900,Blue Mountains,17,13,57,38,38,21,43,5,49,9,23,7,14,8
10950,Bogan,4,5,3,0,3,0,0,0,0,3,0,0,0,0
11150,Bourke,18,27,18,14,21,9,9,5,11,0,8,5,6,4
11200,Brewarrina,17,16,11,7,9,0,8,0,7,3,0,4,0,4
11250,Broken Hill,8,19,10,16,20,7,19,7,11,16,7,4,3,4
11300,Burwood,5,10,3,12,5,3,8,0,4,4,4,0,0,0
11350,Byron,7,8,13,13,13,4,14,5,16,5,7,5,10,4
11400,Cabonne,4,0,0,6,0,0,0,0,3,0,0,0,0,0
11450,Camden,27,27,22,22,14,4,15,3,11,4,3,0,0,0
11500,Campbelltown,197,174,205,156,156,51,144,38,100,28,40,14,25,8
11520,Canada Bay,8,6,19,16,9,11,15,3,16,0,8,4,7,5
11570,Canterbury-Bankstown,152,171,172,113,115,47,167,30,91,40,33,38,20,49
11600,Carrathool,5,0,5,4,3,0,0,0,0,0,0,0,0,0
11650,Central Coast,165,150,207,153,143,44,172,34,142,74,86,63,60,35
11700,Central Darling,4,8,12,0,7,3,6,0,8,0,7,0,0,0
11720,Cessnock,17,15,34,31,55,10,33,10,23,11,9,0,0,0
11730,Clarence Valley,56,77,48,43,61,13,65,20,49,11,27,15,17,4
11750,Cobar,8,8,0,7,13,5,4,0,6,0,3,0,0,3
11800,Coffs Harbour,66,45,74,61,103,45,107,36,84,24,38,16,20,6
12000,Coolamon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12150,Coonamble,9,11,9,5,7,4,6,0,4,4,6,0,0,0
12160,Cootamundra-Gundagai Regional,0,0,0,0,3,0,3,0,0,0,3,0,0,0
12350,Cowra,7,10,4,4,10,0,6,3,0,0,0,0,0,0
12380,Cumberland,43,68,55,44,55,22,74,26,40,30,31,19,15,18
12390,Dubbo Regional,99,102,96,81,86,34,63,34,43,28,17,9,8,5
12700,Dungog,3,0,0,0,5,0,5,0,3,0,0,0,0,0
12730,Edward River,0,0,4,8,15,6,7,5,8,4,7,0,3,0
12750,Eurobodalla,19,25,37,32,37,16,56,11,40,19,16,16,11,18
12850,Fairfield,102,69,90,94,51,20,77,14,41,16,15,21,10,4
12870,Federation,8,3,0,0,6,0,0,3,4,3,0,0,0,0
