lga_code, lga_name, homeless_f_0_9, homeless_m_0_9, homeless_f_10_19, homeless_m_10_19, homeless_f_20_29, homeless_m_20_29, homeless_f_30_39, homeless_m_30_39, homeless_f_40_49, homeless_m_40_49, homeless_f_50_59, homeless_m_50_59, homeless_f_60_plus, homeless_m_60_plus
10050,Albury,16,15,52,32,40,45,25,44,24,39,8,24,0,0
10130,Armidale Regional,17,21,33,27,48,19,20,13,16,16,8,5,0,0
10250,Ballina,36,23,27,31,48,19,21,22,23,27,15,19,4,7
10300,Balranald,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10470,Bathurst Regional,57,44,67,49,60,47,31,46,26,34,11,25,8,6
10500,Bayside,15,27,16,15,21,14,25,4,22,6,10,9,5,4
10550,Bega Valley,18,19,23,16,23,21,21,15,7,15,11,7,3,0
10600,Bellingen,0,0,0,0,4,3,0,0,4,0,0,0,0,0
10650,Berrigan,3,0,0,0,3,0,3,0,3,0,0,0,0,0
10750,Blacktown,102,125,171,111,169,83,97,42,54,34,16,20,9,6
10800,Bland,0,0,3,0,0,0,0,0,0,0,0,0,0,0
10850,Blayney,0,3,3,0,0,0,0,0,0,0,0,0,0,0
10900,Blue Mountains,10,9,29,19,20,9,16,4,13,17,11,5,3,0
10950,Bogan,4,7,3,0,0,0,0,0,0,0,0,0,0,0
11150,Bourke,14,9,11,6,11,6,8,5,14,4,0,4,0,0
11200,Brewarrina,7,7,9,0,12,0,10,8,4,4,0,0,0,0
11250,Broken Hill,17,18,41,26,26,31,24,12,9,14,6,9,0,5
11300,Burwood,6,12,11,9,11,5,6,10,5,8,5,7,0,0
11350,Byron,0,6,5,18,6,10,6,10,13,19,14,12,5,9
11400,Cabonne,4,0,4,0,4,0,0,0,0,0,0,0,0,0
11450,Camden,11,18,10,12,15,6,11,4,4,3,0,3,0,0
11500,Campbelltown,109,118,108,91,131,68,71,56,45,36,13,24,9,13
11520,Canada Bay,5,6,10,10,5,13,5,6,10,3,3,0,0,0
11570,Canterbury-Bankstown,74,93,84,56,86,29,60,34,57,29,11,26,4,8
11600,Carrathool,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11650,Central Coast,108,135,150,109,163,73,120,74,66,86,41,34,7,24
11700,Central Darling,0,3,3,3,0,0,4,0,0,0,0,0,0,0
11720,Cessnock,4,0,29,15,42,10,28,12,12,21,8,4,0,0
11730,Clarence Valley,54,58,69,36,52,30,36,28,30,27,14,15,9,8
11750,Cobar,5,5,9,6,4,3,3,4,0,0,4,0,0,0
11800,Coffs Harbour,45,50,75,71,69,50,45,39,30,35,13,24,9,8
12000,Coolamon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12150,Coonamble,9,22,10,8,9,7,10,4,0,0,0,0,0,0
12160,Cootamundra-Gundagai Regional,0,0,5,0,3,0,3,0,0,0,0,0,0,0
12350,Cowra,9,5,6,4,7,3,4,0,0,3,3,0,0,0
12380,Cumberland,48,44,58,39,56,30,53,18,29,18,10,13,9,6
12390,Dubbo Regional,71,75,66,43,83,50,37,38,23,29,7,8,5,5
12700,Dungog,0,4,0,0,0,0,0,0,0,0,0,0,0,0
12730,Edward River,0,0,3,3,5,0,5,9,5,6,3,0,0,0
12750,Eurobodalla,13,22,38,23,40,26,33,19,19,28,17,17,0,6
12850,Fairfield,41,46,55,37,42,17,38,13,23,14,6,8,4,6
12870,Federation,0,4,6,3,0,0,3,0,0,0,0,0,0,0
12900,Forbes,4,0,8,10,4,5,5,6,4,5,0,4,0,0
12930,Georges River,15,20,26,14,18,9,20,4,18,4,0,8,3,3
12950,Gilgandra,5,8,4,0,0,3,3,0,3,3,0,0,0,0
13010,Glen Innes Severn,0,3,9,0,8,5,4,4,0,0,0,4,0,0
13310,Goulburn Mulwaree,31,29,29,18,34,19,15,28,8,17,4,10,0,3
13340,Greater Hume Shire,0,0,6,0,0,0,3,0,0,0,0,0,0,0
13450,Griffith,23,28,24,24,37,23,12,22,15,10,0,3,0,0
13550,Gunnedah,4,6,10,9,17,9,5,6,8,5,0,4,0,0
13660,Gwydir,0,0,0,0,0,0,0,0,0,0,0,0,4,0
13800,Hawkesbury,12,22,31,24,23,21,30,11,14,14,6,5,4,0
13850,Hay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13910,Hilltops,0,4,5,6,8,6,7,6,4,0,4,5,0,0
14000,Hornsby,10,14,18,21,14,6,19,10,15,13,8,10,0,5
14100,Hunters Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14170,Inner West,38,45,79,52,69,66,50,28,48,64,19,35,11,29
14200,Inverell,18,24,25,29,15,13,17,10,10,7,0,5,4,5
14300,Junee,0,0,0,0,0,5,0,8,0,12,0,3,0,0
14350,Kempsey,79,51,83,51,66,43,45,42,37,36,18,25,6,3
14400,Kiama,6,5,3,5,4,0,0,0,0,0,0,0,0,0
14500,Ku-ring-gai,0,4,4,3,0,0,8,0,4,0,4,0,0,0
14550,Kyogle,9,7,3,0,6,3,5,0,3,5,0,0,0,0
14600,Lachlan,7,4,7,4,0,0,4,0,0,0,0,0,0,0
14650,Lake Macquarie,51,50,83,50,87,21,82,22,51,23,14,10,4,4
14700,Lane Cove,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14750,Leeton,14,18,15,4,10,8,7,6,4,4,0,4,0,0
14850,Lismore,37,47,56,51,49,34,39,20,30,28,19,21,6,11
14870,Lithgow,9,11,24,25,22,21,10,4,3,7,0,0,0,3
14900,Liverpool,75,85,64,55,101,52,51,51,32,27,20,29,8,12
14920,Liverpool Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14950,Lockhart,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15050,Maitland,19,14,60,43,62,28,42,10,19,12,10,5,0,0
15240,Mid-Coast,17,15,68,55,79,60,39,27,32,40,17,17,7,11
15270,Mid-Western Regional,6,11,10,10,14,13,7,12,9,0,0,4,0,0
15300,Moree Plains,36,27,42,24,27,21,26,16,20,26,8,7,5,8
15350,Mosman,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15520,Murray River,0,0,3,4,3,0,0,0,0,0,0,0,0,0
15560,Murrumbidgee,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15650,Muswellbrook,12,7,18,12,14,10,26,8,10,10,0,3,0,0
15700,Nambucca,15,15,19,12,15,8,7,6,5,6,0,0,0,0
15750,Narrabri,22,24,17,8,15,11,12,11,7,8,4,0,0,0
15800,Narrandera,5,0,0,0,3,0,0,0,0,0,0,0,0,0
15850,Narromine,3,0,4,4,5,0,0,0,0,0,0,0,0,0
15900,Newcastle,50,60,89,79,125,59,88,69,59,71,23,40,16,12
15950,North Sydney,0,0,7,5,3,0,5,0,4,4,3,3,0,5
15990,Northern Beaches,8,12,27,18,15,18,27,5,9,21,14,17,9,14
16100,Oberon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16150,Orange,47,57,68,48,61,48,36,31,25,39,15,17,5,6
16200,Parkes,18,14,11,11,13,5,11,12,5,4,4,0,0,3
16260,Parramatta,24,26,48,26,48,55,37,97,25,94,14,46,0,17
16350,Penrith,71,93,136,72,119,61,89,44,60,33,22,19,6,11
16380,Port Macquarie-Hastings,59,78,73,68,77,44,43,24,34,31,19,19,8,7
16400,Port Stephens,16,10,30,18,34,18,30,15,26,11,10,6,0,5
16490,Queanbeyan-Palerang Regional,16,17,20,19,36,21,29,24,31,31,7,15,5,12
16550,Randwick,13,11,33,13,26,26,11,9,20,17,9,17,0,0
16610,Richmond Valley,28,30,30,18,32,11,22,9,9,10,7,7,0,0
16700,Ryde,8,16,13,9,10,5,10,3,6,4,4,3,3,3
